Date,BND,GLD,QQQ,VTI
2010-09-27,53.68470001220703,126.72000122070312,43.34149932861328,44.81198501586914
2010-09-28,53.80167770385742,127.8499984741211,43.32394027709961,45.06576156616211
2010-09-29,53.743202209472656,127.94999694824219,43.25373840332031,44.988868713378906
2010-09-30,53.717193603515625,127.91000366210938,43.06068420410156,44.88887405395508
2010-10-01,53.673519134521484,128.91000366210938,43.008033752441406,45.08882141113281
2010-10-04,53.810367584228516,128.4600067138672,42.54293441772461,44.688926696777344
2010-10-05,53.8233528137207,130.99000549316406,43.578433990478516,45.61947250366211
2010-10-06,53.94721221923828,131.80999755859375,43.201080322265625,45.57332992553711
2010-10-07,54.038448333740234,130.3699951171875,43.35905838012695,45.51180648803711
2010-10-08,53.973297119140625,131.66000366210938,43.65740203857422,45.819427490234375
2010-10-11,53.95374298095703,132.2899932861328,43.67493438720703,45.88862609863281
2010-10-12,53.9015998840332,131.9600067138672,43.97330856323242,46.05015182495117
2010-10-13,53.986297607421875,134.07000732421875,44.333126068115234,46.41158676147461
2010-10-14,53.77780532836914,134.75,44.245361328125,46.28853988647461
2010-10-15,53.653995513916016,133.67999267578125,45.1843147277832,46.32701110839844
2010-10-18,53.85598373413086,134.27999877929688,45.01759719848633,46.58076858520508
2010-10-19,53.93419647216797,130.11000061035156,44.59636688232422,45.904022216796875
2010-10-20,53.91464614868164,131.32000732421875,44.921051025390625,46.365440368652344
2010-10-21,53.86903762817383,129.47000122070312,45.00880813598633,46.44234848022461
2010-10-22,53.836463928222656,129.72999572753906,45.315956115722656,46.58076858520508
2010-10-25,53.86903762817383,130.85000610351562,45.53534698486328,46.73457336425781
2010-10-26,53.719112396240234,130.8800048828125,45.65818405151367,46.726890563964844
2010-10-27,53.608394622802734,129.52000427246094,45.79859161376953,46.634613037109375
2010-10-28,53.79079055786133,131.24000549316406,45.89513397216797,46.634613037109375
2010-10-29,53.88858413696289,132.6199951171875,45.78981018066406,46.696136474609375
2010-11-01,53.88723373413086,131.9199981689453,45.82493209838867,46.70381546020508
2010-11-02,53.978755950927734,132.49000549316406,46.31633377075195,47.07295608520508
2010-11-03,54.037540435791016,131.57000732421875,46.52694320678711,47.265228271484375
2010-11-04,54.20742416381836,136.02999877929688,47.09733963012695,48.18806076049805
2010-11-05,53.978755950927734,136.3800048828125,47.09733963012695,48.403419494628906
2010-11-08,53.99178695678711,137.77999877929688,47.15877151489258,48.34186553955078
2010-11-09,53.71737289428711,135.58999633789062,46.90428924560547,47.96505355834961
2010-11-10,53.697776794433594,137.24000549316406,47.1412239074707,48.17268371582031
2010-11-11,53.71737289428711,137.66000366210938,46.842872619628906,48.04195022583008
2010-11-12,53.475589752197266,133.69000244140625,46.079402923583984,47.43441390991211
2010-11-15,53.220794677734375,132.4199981689453,45.90389633178711,47.36518859863281
2010-11-16,53.39718246459961,130.97000122070312,45.14921188354492,46.61153793334961
2010-11-17,53.41028594970703,130.3800048828125,45.28084945678711,46.68844985961914
2010-11-18,53.41028594970703,132.08999633789062,46.00920867919922,47.34212875366211
2010-11-19,53.42329788208008,132.1999969482422,46.0443115234375,47.534393310546875
2010-11-22,53.58013916015625,133.47999572753906,46.43043518066406,47.54208755493164
2010-11-23,53.59324645996094,134.41000366210938,45.69328308105469,46.86531448364258
2010-11-24,53.33839797973633,134.17999267578125,46.61469268798828,47.61898422241211
2010-11-26,53.462547302246094,133.11000061035156,46.30756378173828,47.295989990234375
2010-11-29,53.5017204284668,133.50999450683594,46.2724609375,47.22677230834961
2010-11-30,53.521339416503906,135.4199981689453,45.71084213256836,46.93453598022461
2010-12-01,53.193756103515625,135.3800048828125,46.676124572753906,47.941978454589844
2010-12-02,53.14790725708008,135.1999969482422,47.149986267089844,48.55721664428711
2010-12-03,53.23308563232422,138.07000732421875,47.272850036621094,48.71101760864258
2010-12-06,53.40999221801758,139.11000061035156,47.255306243896484,48.69564437866211
2010-12-07,53.0234375,136.5,47.2816162109375,48.74946594238281
2010-12-08,52.748260498046875,134.7899932861328,47.45713806152344,48.88789367675781
2010-12-09,52.79407501220703,135.3699951171875,47.50101852416992,49.06478500366211
2010-12-10,52.62376022338867,135.41000366210938,47.816932678222656,49.38008117675781
2010-12-13,52.76133346557617,136.0500030517578,47.65018844604492,49.39547348022461
2010-12-14,52.42720413208008,136.17999267578125,47.73793411254883,49.410858154296875
2010-12-15,52.263427734375,134.6999969482422,47.52733612060547,49.19551086425781
2010-12-16,52.3813362121582,133.80999755859375,47.895904541015625,49.48774337768555
2010-12-17,52.702415466308594,134.1999969482422,47.938114166259766,49.58002471923828
2010-12-20,52.735145568847656,135.11000061035156,47.9732780456543,49.710758209228516
2010-12-21,52.79407501220703,135.32000732421875,48.26345443725586,50.01068878173828
2010-12-22,52.735145568847656,135.0500030517578,48.25463104248047,50.20088577270508
2010-12-23,52.67618179321289,134.66000366210938,48.131553649902344,50.13131332397461
2010-12-27,52.82334899902344,135.02000427246094,48.157920837402344,50.1622314453125
2010-12-28,52.48014831542969,137.22000122070312,48.070003509521484,50.2086181640625
2010-12-29,52.79032516479492,137.7100067138672,48.17552947998047,50.285945892333984
2010-12-30,52.79695129394531,137.02999877929688,48.06121063232422,50.224098205566406
2010-12-31,52.97517395019531,138.72000122070312,47.88535690307617,50.20088577270508
2011-01-03,52.909149169921875,138.0,48.63274383544922,50.7188835144043
2011-01-04,52.91572952270508,134.75,48.597564697265625,50.61839294433594
2011-01-05,52.684722900390625,134.3699951171875,49.01082992553711,50.896724700927734
