Date,SPY,AGG,EFA,MSFT,JPM,NVDA,JNJ,PG
2020-10-07,317.67724609375,101.87086486816406,55.86836242675781,201.1903533935547,88.01610565185547,13.921504974365234,128.22264099121094,124.33267974853516
2020-10-08,320.4926452636719,102.00088500976562,56.256813049316406,201.90948486328125,89.82530212402344,13.796637535095215,129.09837341308594,125.17216491699219
2020-10-09,323.3546142578125,102.0268783569336,56.69705581665039,206.92408752441406,89.31343078613281,13.720863342285156,130.90191650390625,126.29444122314453
2020-10-12,328.55657958984375,102.22621154785156,57.025089263916016,212.28392028808594,90.40779876708984,14.182707786560059,131.65628051757812,127.68183135986328
2020-10-13,326.4124755859375,102.2522201538086,56.38629913330078,213.683837890625,88.9427719116211,14.204886436462402,128.6388397216797,127.43436431884766
2020-10-14,324.36151123046875,102.3128662109375,56.291343688964844,211.76620483398438,88.44854736328125,14.052352905273438,128.41342163085938,127.28414916992188
2020-10-15,323.9605712890625,102.22621154785156,55.626651763916016,210.61557006835938,89.77234649658203,13.927486419677734,127.6243667602539,127.09860229492188
2020-10-16,323.76483154296875,102.17424011230469,55.8856201171875,210.61557006835938,89.58702850341797,13.769468307495117,128.41342163085938,127.59346008300781
2020-10-19,318.8425598144531,102.05286407470703,55.678443908691406,205.3995819091797,88.07787322998047,13.456673622131348,125.13590240478516,125.40193939208984
2020-10-20,320.1197204589844,101.96623229980469,55.95468521118164,205.8118438720703,88.58094024658203,13.603971481323242,125.3353042602539,125.9056167602539
2020-10-21,319.51373291015625,101.84486389160156,55.68708038330078,205.95570373535156,87.69837951660156,13.483591079711914,124.7977294921875,126.5860595703125
2020-10-22,321.26629638671875,101.6628646850586,55.73023986816406,206.04197692871094,90.79609680175781,13.320338249206543,125.79483795166016,125.68950653076172
2020-10-23,322.3571472167969,101.8102035522461,56.092803955078125,207.32681274414062,91.61687469482422,13.548890113830566,125.93360137939453,126.51586151123047
2020-10-26,316.3999938964844,101.94886779785156,55.08281326293945,201.42999267578125,89.3487319946289,13.101256370544434,124.83242797851562,125.55619049072266
2020-10-27,315.30926513671875,102.18287658691406,54.651206970214844,204.4695281982422,87.66307067871094,13.355978965759277,124.12137603759766,126.49810791015625
2020-10-28,304.5323181152344,102.03551483154297,53.019691467285156,194.33474731445312,85.20079040527344,12.588573455810547,119.9681167602539,122.32177734375
2020-10-29,307.6274719238281,101.85353088378906,53.2700309753418,196.29075622558594,85.75677490234375,12.984363555908203,118.95365142822266,122.2417984008789
2020-10-30,304.4204406738281,101.57620239257812,52.993797302246094,194.13339233398438,86.52460479736328,12.495855331420898,118.88427734375,121.82416534423828
2020-11-02,307.83251953125,101.76020812988281,53.68437957763672,193.99913024902344,88.47502136230469,12.542462348937988,120.25425720214844,123.0681381225586
2020-11-03,313.267578125,101.71683502197266,55.09144592285156,197.93032836914062,91.26386260986328,12.979877471923828,120.08948516845703,125.485107421875
2020-11-04,320.2688293457031,102.39392852783203,55.695709228515625,207.480224609375,88.47502136230469,13.752269744873047,120.86986541748047,124.9697494506836
2020-11-05,326.5149841308594,102.48942565917969,57.03372573852539,214.09613037109375,92.09343719482422,14.116908073425293,121.18205261230469,126.51586151123047
2020-11-06,326.4403991699219,102.26374816894531,57.15456771850586,214.50843811035156,90.86668395996094,14.517682075500488,123.34100341796875,127.27112579345703
2020-11-09,330.5423889160156,101.78627014160156,58.82061004638672,209.3978729248047,103.16938018798828,13.589265823364258,126.66191101074219,122.6150131225586
2020-11-10,330.0576171875,101.6213150024414,59.34718322753906,202.3217315673828,102.83399200439453,12.731138229370117,128.5694580078125,124.6320571899414
2020-11-11,332.5094909667969,101.68209075927734,59.847862243652344,207.63368225097656,101.29838562011719,13.377165794372559,128.1532745361328,126.24038696289062
2020-11-12,329.2838439941406,102.10749053955078,58.975990295410156,206.56936645507812,100.0539779663086,13.415796279907227,128.5868377685547,126.31147003173828
2020-11-13,333.8426208496094,102.12483978271484,59.882381439208984,207.5952606201172,100.68059539794922,13.25653076171875,129.97413635253906,128.20416259765625
2020-11-16,338.0097961425781,102.11616516113281,60.50391387939453,208.28564453125,103.52238464355469,13.474120140075684,130.7978515625,126.56029510498047
2020-11-17,336.1919250488281,102.32452392578125,60.4434814453125,205.62969970703125,102.47216796875,13.381400108337402,129.4972381591797,126.07157897949219
2020-11-18,332.14593505859375,102.39392852783203,60.124088287353516,202.9187469482422,101.71318054199219,13.387882232666016,127.78043365478516,124.13445281982422
2020-11-19,333.5443115234375,102.58494567871094,60.54706954956055,204.2069091796875,101.98676300048828,13.399349212646484,127.58101654052734,123.9833984375
2020-11-20,331.26019287109375,102.68911743164062,60.72835159301758,202.25538635253906,101.11305236816406,13.047920227050781,126.90469360351562,123.7790298461914
2020-11-23,333.24591064453125,102.6630630493164,60.65067672729492,201.9862518310547,104.02542877197266,13.100010871887207,125.61251831054688,123.2991943359375
2020-11-24,338.61578369140625,102.524169921875,61.55704879760742,205.59124755859375,108.83529663085938,12.918317794799805,125.61251831054688,122.89932250976562
2020-11-25,338.09368896484375,102.48942565917969,61.479366302490234,205.60086059570312,107.69683074951172,13.194472312927246,125.44662475585938,123.22810363769531
2020-11-27,339.0352478027344,102.6630630493164,61.902347564697266,206.9082489013672,106.98196411132812,13.220890998840332,125.72599792480469,123.16592407226562
2020-11-30,337.5343017578125,102.80194091796875,60.55569839477539,205.7931365966797,104.03424835205078,13.360713958740234,126.31974792480469,123.39693450927734
2020-12-01,341.2260437011719,102.4767074584961,61.980045318603516,207.85040283203125,105.67581176757812,13.349247932434082,128.73818969726562,123.84122467041016
